,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
조코드명,상품코드,상품등록일,상품명▲,매입처,"파트너포탈
입력정보",매입단가,판매단가,발주,,,,,,영업점,,,,,"발주
확정일자","발주
확정자","운영재고
관리대상",이미지여부,상품분류,발주비고,
,,,,,,,,수량,단위,단위수량,총수량,총금액,최근정보,기간판매량,운영재고,직전한달판매량,총현재고,수신예정수량,,,,,,,
디지털,8800923167147,2024-11-04,[넥스트유] USB3.0 스틱형 휴대용 카드리더기 NEXT-9718U3,디피이,정상(EA/1),"5,520 ","6,900 ",0 ,EA(1),1 ,0 ,0 ,20250412 / 5 [발주확정],0 ,0 ,0 ,0 ,0 ,,,N,N,컴퓨터 주변기기 기타, ,
디지털,8800923177115,2024-11-04,[넥스트유] 무선 미라캐스트 동글 NEXT-MTV330-4K,디피이,정상(EA/1),"39,920 ","49,900 ",0 ,EA(1),1 ,0 ,0 ,20250412 / 5 [발주확정],0 ,0 ,0 ,0 ,0 ,,,N,N,컴퓨터 주변기기 기타, ,
디지털,8800923177252,2024-11-04,[넥스트유] 블루투스 5.0 동글 NEXT-304BT,디피이,정상(EA/1),"5,520 ","6,900 ",0 ,EA(1),1 ,0 ,0 ,20250412 / 5 [발주확정],0 ,0 ,0 ,0 ,0 ,,,N,N,컴퓨터 주변기기 기타, ,
디지털,8800923121194,2023-04-24,[도시바] TOSHIBA CANVIO ADVANCE GEN2/HDTCA10/1TB/그린,디피이,정상(EA/1),"80,750 ","95,000 ",0 ,EA(1),1 ,0 ,0 , /  [],0 ,0 ,0 ,0 ,0 ,,,N,N,HDD(하드디스크드라이브), ,
디지털,8800923121101,2023-04-24,[도시바] TOSHIBA CANVIO ADVANCE GEN2/HDTCA10/1TB/레드,디피이,정상(EA/1),"80,750 ","95,000 ",0 ,EA(1),1 ,0 ,0 , /  [],0 ,0 ,0 ,0 ,0 ,,,N,N,HDD(하드디스크드라이브), ,
디지털,8800923121187,2023-04-24,[도시바] TOSHIBA CANVIO ADVANCE GEN2/HDTCA10/1TB/블랙,디피이,정상(EA/1),"80,750 ","95,000 ",0 ,EA(1),1 ,0 ,0 , /  [],0 ,0 ,0 ,0 ,0 ,,,N,N,HDD(하드디스크드라이브), ,
디지털,8800923121118,2023-04-24,[도시바] TOSHIBA CANVIO ADVANCE GEN2/HDTCA10/1TB/화이트,디피이,정상(EA/1),"80,750 ","95,000 ",0 ,EA(1),1 ,0 ,0 , /  [],0 ,0 ,0 ,0 ,0 ,,,N,N,HDD(하드디스크드라이브), ,
디지털,8800923121231,2023-04-24,[도시바] TOSHIBA CANVIO ADVANCE GEN2/HDTCA20/2TB/그린,디피이,정상(EA/1),"114,750 ","135,000 ",0 ,EA(1),1 ,0 ,0 , /  [],0 ,0 ,0 ,0 ,0 ,,,N,N,HDD(하드디스크드라이브), ,
디지털,8800923121248,2023-04-24,[도시바] TOSHIBA CANVIO ADVANCE GEN2/HDTCA20/2TB/레드,디피이,정상(EA/1),"114,750 ","135,000 ",0 ,EA(1),1 ,0 ,0 , /  [],0 ,0 ,0 ,0 ,0 ,,,N,N,HDD(하드디스크드라이브), ,
디지털,8800923121125,2023-04-24,[도시바] TOSHIBA CANVIO ADVANCE GEN2/HDTCA20/2TB/블랙,디피이,정상(EA/1),"114,750 ","135,000 ",0 ,EA(1),1 ,0 ,0 , /  [],0 ,0 ,0 ,0 ,0 ,,,N,N,HDD(하드디스크드라이브), ,
